video,video_caption,image_caption,mixed_caption
motorcycle-riding-0.mp4,a person riding a motorcycle on a city street at sunset,a view from a motorcycle as it rides down the street .,"A person is riding a motorcycle on a city street at sunset, experiencing a unique view from the motorcycle as it rides down the street."
video_48204.mp4,a person is putting something in a refrigerator,a person is washing dishes in a kitchen .,A person is washing dishes in a kitchen and putting something in a refrigerator.
video_1024.mp4,a person is kneading dough on a counter top,a person kneading dough on a wooden floor .,A person is kneading dough on a wooden floor countertop.
video_66848.mp4,a person cutting up vegetables on a cutting board,a person cutting up food on a cutting board .,A person is cutting up vegetables and food on a cutting board.
video_10387.mp4,a person in a yellow glove cleaning a sink with a sponge,a person in yellow gloves washing dishes in a sink .,"A person in yellow gloves is cleaning a sink with a sponge, washing dishes."
video_67000.mp4,a person cutting vegetables on a cutting board,a person cutting up carrots on top of a table .,"A person is cutting vegetables, including carrots, on a cutting board placed on top of a table."
video_23441.mp4,a person is standing on the floor next to a washing machine,a person in a kitchen holding a frisbee .,A person is standing on the floor next to a washing machine in the kitchen while holding a frisbee.
video_50673.mp4,a man is washing his hands in the sink,a person is washing dishes in a sink .,A man is washing his hands and dishes in the sink.
video_61116.mp4,a person washing dishes in a sink with a metal bowl,a person in a sink with a pan in it .,"A person washes dishes in a sink with a metal bowl, while another person is in a sink with a pan in it."
video_9304.mp4,a person wearing rubber gloves cleaning dishes in a kitchen sink,a person in yellow gloves cleaning a sink .,A person wearing rubber gloves is cleaning dishes in a kitchen sink while donning yellow gloves.
video_723.mp4,a person is standing on the floor with a pan on the stove,a person playing a video game on the nintendo wii .,A person is standing on the floor with a pan on the stove while playing a video game on the Nintendo Wii.
video_77.mp4,a person is using a spoon to mix a bowl of food on a counter,a person is holding a bottle on a counter .,A person is using a spoon to mix a bowl of food on a counter while holding a bottle.
video_239.mp4,a person is holding a plate of food on a counter,a person reaching for food on a table .,A person is holding a plate of food on a counter and reaching for food on a table.
video_10.mp4,a person is cutting a blue plate on a table,a person holding a bowl on top of a wooden table .,"A person is cutting a blue plate on a table, while holding a bowl on top of a wooden table."
video_63707.mp4,a person cutting up a piece of paper on a counter,a person is writing on some papers on the floor,A person is cutting up a piece of paper on a counter and simultaneously writing on some papers on the floor.
video_456.mp4,a person using a knife to cut a piece of bread,a person is washing dishes in a sink .,A person is using a knife to cut a piece of bread and is also washing dishes in a sink.
video_30370.mp4,a person is cooking food on a stove top,a blurry picture of a person drinking a cup of coffee .,A person is cooking food on a stove top while drinking a cup of coffee in a blurry picture.
video_35468.mp4,a person is cooking food in a pan on a stove,a person holding a plate of food in front of a stove .,A person is cooking food in a pan on a stove and holding a plate of food in front of the stove.
video_66766.mp4,a person cutting vegetables on a cutting board,a person is peeling potatoes on a cutting board .,"A person is cutting vegetables, such as potatoes, on a cutting board."
video_153.mp4,a person is holding a bowl of food on a table,a person holding a paper cup over a wooden table .,A person is holding a bowl of food on a table and simultaneously holding a paper cup over a wooden table.
video_139.mp4,a person is cooking food on a stove top,a person cooking food on an open flame stove .,A person is cooking food on a stove top that uses an open flame.
video_66245.mp4,a person is washing dishes in a kitchen sink,a view of a kitchen with a sink and a faucet .,"A person is washing dishes in a kitchen sink, which is located in a kitchen with a sink and a faucet."
video_64605.mp4,a person is cooking pasta in a pan on a table,a person holding a frying pan over a bowl of food .,"A person is cooking pasta in a pan on a table, while holding a frying pan over a bowl of food."
